Timestamp,MetricID,Value,Trend_Mean,Variance,Z_Score,PRB_Limit,ControlActions
1770029787.3972895,DRB.UEThpDl,9.0,0.70,4.81,3.78,80,7
1770029787.3976135,DRB.UEThpUl,77.0,4.75,285.59,4.28,80,7
1770029788.3970919,DRB.UEThpDl,472.0,24.30,10554.01,4.36,64,8
1770029788.3973594,DRB.UEThpUl,102.0,9.85,731.33,3.41,64,8
1770029789.3972125,DRB.UEThpDl,2.0,24.40,10549.34,-0.22,69,8
1770029789.3975391,DRB.UEThpUl,24.0,11.05,735.05,0.48,69,8
1770029790.3977146,DRB.UEThpDl,0.0,24.40,10549.34,-0.24,74,8
1770029790.3981,DRB.UEThpUl,0.0,11.05,735.05,-0.41,74,8
1770029791.3968077,DRB.UEThpDl,0.0,24.40,10549.34,-0.24,79,8
1770029791.397039,DRB.UEThpUl,0.0,10.90,737.89,-0.40,79,8
1770029792.3972425,DRB.UEThpDl,0.0,24.15,10560.23,-0.24,84,8
1770029792.3975382,DRB.UEThpUl,0.0,10.90,737.89,-0.40,84,8
1770029793.397016,DRB.UEThpDl,0.0,24.15,10560.23,-0.24,89,8
1770029793.3973227,DRB.UEThpUl,0.0,10.90,737.89,-0.40,89,8
1770029794.3970857,DRB.UEThpDl,0.0,24.15,10560.23,-0.24,94,8
1770029794.3973947,DRB.UEThpUl,0.0,10.90,737.89,-0.40,94,8
1770029795.3971581,DRB.UEThpDl,0.0,24.15,10560.23,-0.24,99,8
1770029795.3974566,DRB.UEThpUl,0.0,10.90,737.89,-0.40,99,8
1770029796.3972132,DRB.UEThpDl,2.0,24.25,10555.59,-0.22,100,8
1770029796.3975122,DRB.UEThpUl,2.0,11.00,735.90,-0.33,100,8
1770029797.3973587,DRB.UEThpDl,5.0,24.50,10544.65,-0.19,100,8
1770029797.3977108,DRB.UEThpUl,4.0,11.20,732.26,-0.27,100,8
1770029798.397196,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029798.3975255,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029799.3973343,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029799.3977196,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029800.3970873,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029800.39734,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029801.3971627,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029801.3975015,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029802.3982522,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029802.398836,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029803.3970895,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029803.3974223,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029804.3973124,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029804.3976436,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029805.396963,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029805.3972747,DRB.UEThpUl,0.0,11.20,732.26,-0.41,100,8
1770029806.3969386,DRB.UEThpDl,0.0,24.50,10544.65,-0.24,100,8
1770029806.3972275,DRB.UEThpUl,0.0,10.45,737.25,-0.38,100,8
1770029807.3977742,DRB.UEThpDl,0.0,24.05,10562.45,-0.23,100,8
1770029807.3981035,DRB.UEThpUl,0.0,6.60,506.44,-0.29,100,8
1770029808.3977666,DRB.UEThpDl,0.0,0.45,1.45,-0.37,100,8
1770029808.3981152,DRB.UEThpUl,0.0,1.50,27.55,-0.29,100,8
1770029809.3970468,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,8
1770029809.397363,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,8
1770029810.3972237,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,8
1770029810.3976297,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,8
1770029811.3970494,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,8
1770029811.3973324,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,8
1770029812.3971457,DRB.UEThpDl,7.0,0.70,3.41,3.41,80,9
1770029812.3974264,DRB.UEThpUl,16.0,1.10,12.59,4.20,80,9
1770029813.3971176,DRB.UEThpDl,73.0,4.35,251.43,4.33,64,10
1770029813.3974423,DRB.UEThpUl,125.0,7.35,741.03,4.32,64,10
1770029814.3975656,DRB.UEThpDl,491.0,28.90,11489.19,4.31,51,11
1770029814.397966,DRB.UEThpUl,110.0,12.85,1234.93,2.76,51,11
1770029815.3970988,DRB.UEThpDl,2.0,29.00,11483.60,-0.25,56,11
1770029815.3974357,DRB.UEThpUl,23.0,14.00,1230.50,0.26,56,11
1770029816.3970554,DRB.UEThpDl,0.0,28.90,11489.19,-0.27,61,11
1770029816.397359,DRB.UEThpUl,0.0,13.90,1233.09,-0.40,61,11
1770029817.3972356,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,66,11
1770029817.3976126,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,66,11
1770029818.396859,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,71,11
1770029818.3971343,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,71,11
1770029819.397488,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,76,11
1770029819.3979363,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,76,11
1770029820.3972347,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,81,11
1770029820.3975534,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,81,11
1770029821.3970566,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,86,11
1770029821.3973367,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,86,11
1770029822.3970988,DRB.UEThpDl,0.0,28.65,11502.33,-0.27,91,11
1770029822.3974433,DRB.UEThpUl,0.0,13.70,1237.81,-0.39,91,11
1770029823.3970153,DRB.UEThpDl,5.0,28.90,11489.19,-0.22,96,11
1770029823.3973193,DRB.UEThpUl,4.0,13.90,1233.09,-0.28,96,11
